product_id,product_name,category,price,stock_quantity
P001,Wireless Mouse,Electronics,24.99,320
P002,Mechanical Keyboard,Electronics,79.99,150
P003,USB-C Charger,Electronics,19.99,500
P004,Bluetooth Headphones,Electronics,59.99,210
P005,4K Monitor,Electronics,249.99,85
P006,Laptop Stand,Accessories,34.99,260
P007,Webcam HD,Electronics,49.99,140
P008,Portable SSD 1TB,Electronics,119.99,90
P009,Smartwatch Series 5,Wearables,199.99,130
P010,Fitness Tracker,Wearables,89.99,200
P011,Running Shoes,Sports,129.99,180
P012,Yoga Mat,Sports,29.99,400
P013,Dumbbell Set,Sports,59.99,120
P014,Water Bottle,Sports,14.99,600
P015,Tennis Racket,Sports,89.99,75
P016,Office Chair,Furniture,149.99,60
P017,Standing Desk,Furniture,399.99,40
P018,Desk Lamp,Furniture,39.99,220
P019,Bookshelf,Furniture,129.99,55
P020,Ergonomic Footrest,Furniture,29.99,180
P021,Coffee Maker,Home Appliances,79.99,140
P022,Air Fryer,Home Appliances,99.99,110
P023,Vacuum Cleaner,Home Appliances,149.99,70
P024,Electric Kettle,Home Appliances,29.99,300
P025,Toaster 2-Slice,Home Appliances,24.99,250
P026,Winter Jacket,Clothing,119.99,95
P027,Jeans Classic Fit,Clothing,49.99,200
P028,Sneakers Casual,Clothing,69.99,160
P029,Hoodie Fleece,Clothing,39.99,180
P030,T-Shirt Cotton,Clothing,14.99,500
P031,Backpack Travel,Accessories,59.99,140
P032,Wallet Leather,Accessories,29.99,220
P033,Sunglasses UV400,Accessories,19.99,260
P034,Watch Analog,Accessories,89.99,90
P035,Belt Leather,Accessories,24.99,300
P036,Smart LED Bulb,Home,14.99,450
P037,Air Purifier,Home,129.99,80
P038,Humidifier,Home,49.99,160
P039,Essential Oil Diffuser,Home,24.99,240
P040,Throw Blanket,Home,34.99,200
P041,Board Game Classic,Toys,29.99,180
P042,Building Blocks Set,Toys,49.99,140
P043,RC Car,Toys,59.99,120
P044,Plush Bear,Toys,19.99,300
P045,Art Kit Deluxe,Toys,39.99,160
P046,Pet Bed Medium,Pets,49.99,130
P047,Dog Leash Nylon,Pets,14.99,260
P048,Cat Scratching Post,Pets,39.99,110
P049,Pet Food Bowl,Pets,9.99,400
P050,Dog Chew Toy,Pets,12.99,350
