sale_id,sale_date,customer_id,product_id,region_id,quantity,unit_price,discount,total_sale,product_name,category,product_price,stock_quantity,first_name,last_name,email,gender,age,loyalty_status,signup_date,customer_region,sale_region,subregion,year,quarter,month,month_name,day,day_of_week,day_name
2023-000001,2023-01-02,45,12,3,1,19.99,0.05,18.99,,,,,,,,,,,,,,,2023,1,1,January,2,1,Monday
2023-000001,2023-01-02,45,7,3,1,14.5,0.05,13.78,,,,,,,,,,,,,,,2023,1,1,January,2,1,Monday
2023-000002,2023-01-03,12,4,1,2,29.99,0.0,59.98,,,,,,,,,,,,,,,2023,1,1,January,3,2,Tuesday
2023-000003,2023-01-05,88,3,2,1,9.99,0.1,8.99,,,,,,,,,,,,,,,2023,1,1,January,5,4,Thursday
2023-000003,2023-01-05,88,15,2,1,24.99,0.1,22.49,,,,,,,,,,,,,,,2023,1,1,January,5,4,Thursday
2023-000004,2023-01-06,33,9,4,1,17.49,0.0,17.49,,,,,,,,,,,,,,,2023,1,1,January,6,5,Friday
2023-000005,2023-01-07,101,6,1,3,12.99,0.05,37.02,,,,,,,,,,,,,,,2023,1,1,January,7,6,Saturday
2023-000006,2023-01-09,77,2,3,1,8.99,0.0,8.99,,,,,,,,,,,,,,,2023,1,1,January,9,1,Monday
2023-000007,2023-01-10,54,11,2,2,21.99,0.05,41.78,,,,,,,,,,,,,,,2023,1,1,January,10,2,Tuesday
2023-000008,2023-01-11,19,14,1,1,34.99,0.1,31.49,,,,,,,,,,,,,,,2023,1,1,January,11,3,Wednesday
2023-000009,2023-01-13,92,5,4,1,15.99,0.0,15.99,,,,,,,,,,,,,,,2023,1,1,January,13,5,Friday
2023-000009,2023-01-13,92,8,4,1,13.49,0.0,13.49,,,,,,,,,,,,,,,2023,1,1,January,13,5,Friday
2023-000010,2023-01-14,66,10,3,1,27.99,0.05,26.59,,,,,,,,,,,,,,,2023,1,1,January,14,6,Saturday
2023-000011,2023-01-15,28,1,2,2,6.99,0.0,13.98,,,,,,,,,,,,,,,2023,1,1,January,15,0,Sunday
2023-000012,2023-01-17,73,13,1,1,22.49,0.1,20.24,,,,,,,,,,,,,,,2023,1,1,January,17,2,Tuesday
